ID,Name,Damage,Codes,Description,Rarity,Locations
001,Cannon(キャノン),40,"A, B, C, D, E","A nice, big cannon!",*,A Chip: Found in starting folder. Defeat the Canodumb virus with a 5-7 Busting LV.B Chip: Found in starting folder. Defeat the Canodumb virus with a 7-10 Busting LV.C Chip: Sold by NetDealer in Internet 1 (3000z). School Comp 5 BMD. Internet 2 GMD.D Chip: Defeat the Canodumb virus with a 9-S Busting LV.E Chip: Sold at Higsby's (). Internet 9 GMD.
002,HiCannon(ハイキャノン),80,"F, G, H, I, J","A nice, big cannon!",**,F Chip: Defeat the Canodumb2 virus with a 5-7 Busting LV.G Chip: Defeat the Canodumb2 virus with a 7-9 Busting LV.H Chip: Defeat the Canodumb2 virus with a 10-S Busting LV.I Chip: School Comp 2 BMD. Internet 6 GMD.J Chip: Dad's PC BMD. Internet 9 GMD.
003,M-Cannon(メガキャノン),120,"K, L, M, N, O","A nice, big cannon!",***,K Chip: Defeat the Canodumb3 virus with a 5-7 Busting LV.L Chip: Sold by NetDealer in Internet 3 (10000z). Sold by NetDealer in Internet 10 (). Waterworks Comp 4 BMD. Internet 12 GMD.M Chip: Defeat the Canodumb3 virus with a 10-S Busting LV.N Chip: Internet 10 GMD. Internet 14 GMD.O Chip: Defeat the Canodumb3 virus with a 7-9 Busting LV.
004,Shotgun(ショットガン),30,"K, M, N, Q (MMBN), R, * (OSS)",Hits enemy and keeps going 1pnl,*,K Chip: Doghouse Comp BMD. Internet 1 GMD.N Chip: Found in starting folder.Q Chip: Oven Comp 1 GMD. Oven Comp 2 BMD.
005,CrossGun(クロスガン),30,"C (MMBN), E, F, J, K, * (OSS)",4-panel diagonal blast,*,"C Chip: Email from Dad - ""Sorry!"".F Chip: Internet 10 GMD.J Chip: Found in starting folder.K Chip: Internet 2 GMD."
006,Spreader(スプレッドガンSpread Gun),30,"H, I, J, K, L",Gun with a 1-panel blast,**,H Chip: School Comp 3 BMD. Internet 3 GMD.I Chip: Sold by NetDealer in Internet 1 (1000z). Talk to Glyde after finding Yai's lost program. Internet 6 GMD.J Chip: Waterworks Soda Machine Comp BMD. Internet 3 GMD.MK Chip: Sold at Higsby's (). Internet 7 GMD.L Chip: Internet 9 GMD.
007,Bubbler(バブルスプレッドBubble Spread),50,"A, K, L (MMBN), P, S, * (OSS)",Bubbles w/ a 1-panel blast,*,A Chip: Defeat Puffy with a 7-9 Busting LV.K Chip: Traffic Light Comp 1 BMD.P Chip: Defeat the Puffy virus with a 5-7 Busting LV.S Chip: Defeat the Puffy virus with a 9-S Busting LV.
008,Heater(ヒートスプレッドHeat Spread),70,"C (MMBN), F, G, K, O, * (OSS)",Fire with a 1-panel blast,**,F Chip: Defeat the Puffy2 virus with a 5-7 Busting LV.G Chip: Defeat the Puffy2 virus with a 7-9 Busting LV.K Chip: Defeat the Puffy2 virus with a 9-S Busting LV.O Chip: Traffic Light Comp 3 BMD.
009,MiniBomb(ミニボム),50,"C, E, J, L, P (MMBN), * (OSS)",Throw a bomb! Depth=3,*,C Chip: Found in starting folder.L Chip: Found in starting folder.P Chip: Internet 2 GMD.
010,LilBomb(スモールボムSmall Bomb),50 (MMBN)80 (OSS),"B, D, G, O, T",Throw a bomb! Depth=3,*,
011,CrosBomb(クロスボム),70 (MMBN)80 (OSS),"B, D, H, J, L",Cross bomb Depth=3,**,"Chip B, D H: Defeat the Beetank2 virus found in Internet Area 3."
012,BigBomb(ビッグボム),90,"B, G, O, S, T",Bomb with a big boom Depth=3,***,"Chip B, O, T: Defeat the Beetank3 virus found in Internet Area 5, Internet Area 6, Internet Area 7, Internet Area 8, Internet Area 13"
013,Sword(ソード),80,"B, K, L, P, S",Cut down enemies Range=1,*,
014,WideSwrd(ワイドソード),80,"C, K, M, N, S",Cut down column! Range=1,*,
015,LongSwrd(ロングソード),80 (MMBN)100 (OSS),"D, E, N, O, S",Cut down enemies! Range=2,**,
016,FtrSwrd(ファイターソード),100,"B, K, L, P, S",Warrior's sword Range=3,****,
017,KngtSwrd(ナイトソード),150,"B, C, E, G, H",Knight's sword Range=3,****,
018,HeroSwrd(パラディンソードPaladin Sword),200,"B, D, F, I, G, J",Legendary sword Range=3,*****,D Chip: Low Probability Drop via Super Exchanger at Higsby's.
019,FireSwrd(フレイムソードFlame Sword),100 (MMBN)120 (OSS),"B, F, G, N, P",Cuts down column Range=1,**,
020,AquaSwrd(アクアソード),150,"A, M, N, O, P",Cuts down column Range=1,***,
021,ElecSwrd(エレキソード),120 (MMBN)130 (OSS),"E, G, L, O, S",Cuts down column Range=1,***,
022,Muramasa(ムラマサ),-,"C, E, G, J, K",Do damage = to your HP loss,*****,
023,ShokWave(ショックウェーブ),60,"C, K, L, N, P",Piercing ground wave,*,
024,SoniWave(ソニックウェーブ),80,"C, D, J, M, S",Piercing ground wave,**,
025,DynaWave(ダイナウェーブ),100,"C, E, M, S, R",Piercing ground wave,***,
026,FireTowr(フレイムタワーFlame Tower),100,"E, F, L, M, T",Fire that can move up & down,**,
027,AquaTowr(アクアタワー),120,"A (MMBN), C, G, H, R, * (OSS)",Water that can move up & down,**,
