userid,language,date_local,tweet_text,lat,lng,screen_name,governorate,Area
2900698000,u'en',06/07/2018 23:51,"uI''m at Salhiya Complex in Kuwait City, Al Asimah https://t.co/G4fxQR8y3y,",29.363575,47.96642,Fa365x,Capital,Qibla
351574880,u'en',3/15/2018 22:00,"uI''m at BRO By Brothers in Shuwaikh https://t.co/UCGV9QD5Jo https://t.co/170Uv2pIkr,",29.341764,47.942802,OAlNasseb,Capital,Shuwaikh Industrial - 1
3957871000,u'ar',4/19/2018 20:54,"uI''m at جمعية مبارك الكبير والقرين (٤) in الكويت, مبارك الكبير https://t.co/njeAuYDykw,",29.18788,48.07899,M__alsabt,Mubarak Al-Kabeer,Mubarak Al-Kabeer
764880400,u'en',12/26/2018 18:49,"uI''m at His Majesty The Coffee in Kuwait City https://t.co/tdywdG74UA,",29.381495,47.993027,kha52x,Capital,Sharq
8.46E+17,u'in',01/10/2018 15:16,"uI''m at Chalet K278 in Al Khiran, Al Asimah https://t.co/O4UVGBohxo https://t.co/u24F79xPQf,",28.6583,48.367176,y_n789,Ahmadi,Sabah Al-Ahmad Al-Bahrya
8.40E+17,u'in',6/21/2018 23:21,"uI''m at @Starbucks in Abdullah almubarak, Al Farwaniyah Governate https://t.co/W60qcaDnvL,",29.243654,47.894318,mr511x_,Farwaniya,Abdullah Al-Mubarak
9.66E+17,u'en',01/10/2019 21:27,"uI''m at Almangaf Co-Op in Kuwait, Al Ahmadi Governorate https://t.co/AlqU9AL11L,",29.104342,48.124924,_xei7,Ahmadi,Mangaf
1.04E+18,en,10/02/2019 18:41,I'm at Starbucks https://t.co/4bkmyKVbcI,29.147516,48.1006,theajmi_,Ahmadi,Reqqa
968442500,pl,04/05/2020 14:25,"I''m at Rawda Co-Op in Rawda, Al Asimah https://t.co/Y6SRxbSiVB",29.329105,47.99905,A_aljodar,Capital,Rawda
8.05E+17,u'ar',2/21/2018 0:57,"uI''m at الظهر سيتي https://t.co/AON1kItUKV,",29.166666,48.06405,424x_,Ahmadi,Daher
2950417400,ar,07/01/2019 9:23,من اول الصبح شيشه 😂😍 (@ بروميناد) https://t.co/WqsuH9IC5t https://t.co/FpznXDZLVH,29.347546,48.01118,ahmedkw_alka,Capital,Qadsiya
7.96E+17,ca,12/30/2019 20:47,"I''m at Grand Avenue in Kuwait, Al ‘Āşimah https://t.co/3nC2Um0uQ7",29.30341,47.93952,AS27Q8i,Farwaniya,Al-Rai
9.69E+17,tl,6/22/2019 20:58,"I''m at Ishbilya in kuwait, Farwaniyah https://t.co/CeBShOnAkx",29.272997,47.938457,ieitchv,Farwaniya,Ishbeelia
7.11E+17,u'en',12/25/2017 7:47,"uI''m at Shamiya https://t.co/8CJ6Za7GN2,",29.349253,47.9675,httpwals,Capital,Shammiya
3890699300,u'en',6/19/2018 8:52,"uI''m at I''m at Starbucks in Adailiya https://t.co/jFXl7vMLhZ https://t.co/NZ53quxOLu,",29.328522,47.981308,Ge29_,Capital,Adeilia
2655392500,u'en',12/26/2017 7:09,"uI''m at American University of the Middle East in Kuwait https://t.co/J1dZsXiVx3,",29.163862,48.099625,ALSHAMKHY,Ahmadi,Egaila
1031028160,ar,1/16/2020 21:19,الوعد باجر ان شاء الله #مدينة_الكويت_لرياضة_المحركات #حلبة_الدراغ_ريس @ Kuwait City https://t.co/BW7Qn563WQ,29.3697,47.9783,DeeJay__Steve,Capital,Qibla
391814200,u'tl',11/24/2018 21:03,"uI''m at TRAPANI in Al Farwaniyah Governorate https://t.co/vwNngVrSy0,",29.304482,47.941376,sultanRasheedi,Farwaniya,Al-Rai
8.28E+17,en,4/19/2019 22:14,"I''m at Al-@AmiriHospital in Kuwait City, Al Asimah w/ @hr7lx https://t.co/KzTRdJXfns",29.302828,47.9329,Halmunayea,Farwaniya,Al-Rai
1311900900,u'ca',9/23/2018 18:22,"uI''m at Al Quşūr https://t.co/7pj2CPeLBu,",29.213089,48.068714,A_alanzii1,Mubarak Al-Kabeer,Al-Qusour
7.88E+17,ca,8/28/2019 22:32,"I''m at ستاربكس - @starbucks in Kuwait City, Al Asimah https://t.co/y4YevK3d1q",29.357145,47.99838,AL98RE_T,Capital,Mansouriya
7.53E+17,u'in',4/29/2018 14:39,"uI''m at Dasma in Ad-Dasmah, Al Asimah https://t.co/UknY4DjYWy,",29.3645,48.002598,596xx_,Capital,Dasmah
